94908KDBQ DBQ20050501000009505/01/05 00:00:49  5-MIN KDBQ 010600Z 22003KT 10SM CLR 01/M02 A2999 1010 85 -400 220/03 RMK AO2
94908KDBQ DBQ20050501000509505/01/05 00:05:31  5-MIN KDBQ 010605Z 22003KT 10SM CLR 01/M02 A2999 1010 85 -400 220/03 RMK AO2
94908KDBQ DBQ20050501001009505/01/05 00:10:31  5-MIN KDBQ 010610Z 22003KT 10SM CLR 00/M02 A2999 1020 88 -500 210/03 RMK AO2
94908KDBQ DBQ20050501001509505/01/05 00:15:32  5-MIN KDBQ 010615Z 22003KT 10SM CLR 00/M02 A2999 1020 85 -500 220/03 RMK AO2
94908KDBQ DBQ20050501002009405/01/05 00:20:31  5-MIN KDBQ 010620Z 22003KT 9SM CLR 00/M02 A2998 1020 85 -500 220/03 RMK AO2
94908KDBQ DBQ20050501002509405/01/05 00:25:31  5-MIN KDBQ 010625Z 21003KT 9SM CLR 00/M02 A2998 1020 85 -500 210/03 RMK AO2
94908KDBQ DBQ20050501003009505/01/05 00:30:31  5-MIN KDBQ 010630Z 22004KT 9SM CLR M01/M03 A2998 1020 85 -500 210/04 RMK AO2
94908KDBQ DBQ20050501003509505/01/05 00:35:31  5-MIN KDBQ 010635Z 21004KT 9SM CLR M01/M03 A2998 1020 85 -500 210/04 RMK AO2
94908KDBQ DBQ20050501004009805/01/05 00:40:31  5-MIN KDBQ 010640Z 22004KT 9SM FEW110 M01/M03 A2998 1020 85 -500 220/04 RMK AO2
94908KDBQ DBQ20050501004509805/01/05 00:45:31  5-MIN KDBQ 010645Z 23005KT 8SM SCT100 M01/M02 A2998 1030 88 -500 220/05 RMK AO2
94908KDBQ DBQ20050501005011405/01/05 00:50:31  5-MIN KDBQ 010650Z 23005KT 8SM SCT090 00/M02 A2998 1030 85 -500 220/05 RMK AO2 SLP159 T00001022
94908KDBQ DBQ20050514090509405/14/05 09:05:31  5-MIN KDBQ 141505Z 25015KT 10SM CLR 12/04 A2985 1140 61 1100 250/15 RMK AO2
94908KDBQ DBQ20050514091009405/14/05 09:10:31  5-MIN KDBQ 141510Z 25014KT 10SM CLR 12/04 A2985 1140 61 1100 250/14 RMK AO2
94908KDBQ DBQ20050514091509405/14/05 09:15:31  5-MIN KDBQ 141515Z 26014KT 10SM CLR 12/04 A2985 1150 61 1100 260/14 RMK AO2
94908KDBQ DBQ20050514092010005/14/05 09:20:31  5-MIN KDBQ 141520Z 26015G18KT 10SM CLR 12/04 A2984 1150 59 1100 260/15G18 RMK AO2
94908KDBQ DBQ20050514092510405/14/05 09:25:31  5-MIN KDBQ 141525Z 25014G18KT 10SM FEW100 12/04 A2985  1150 56 1100 250/14G18 RMK AO2
94908KDBQ DBQ20050514093009705/14/05 09:30:31  5-MIN KDBQ 141530Z 26014KT 10SM FEW100 12/04 A2984 1150 59 1100 260/14 RMK AO2
94908KDBQ DBQ20050514093509705/14/05 09:35:31  5-MIN KDBQ 141535Z 27014KT 10SM SCT100 12/05 A2985 1140 61 1100 270/14 RMK AO2
94908KDBQ DBQ20050514094010405/14/05 09:40:31  5-MIN KDBQ 141540Z 26015G21KT 10SM SCT100 12/05 A2985  1150 61 1100 260/15G21 RMK AO2
94908KDBQ DBQ20050514094510405/14/05 09:45:31  5-MIN KDBQ 141545Z 28015G21KT 10SM SCT100 12/05 A2984  1150 61 1100 280/15G21 RMK AO2
94908KDBQ DBQ20050514095011405/14/05 09:50:31  5-MIN KDBQ 141550Z 25013KT 10SM SCT100 13/06 A2984 1150 61 1200 250/13 RMK AO2 SLP106 T01280056
94908KDBQ DBQ20050514095512105/14/05 09:55:31  5-MIN KDBQ 141555Z 25015G19KT 10SM FEW100 13/06 A2984  1150 61 1200 250/15G19 RMK AO2 SLP106 T01280056
94908KDBQ DBQ20050514100010405/14/05 10:00:31  5-MIN KDBQ 141600Z 25013G19KT 10SM FEW100 13/05 A2984  1150 59 1200 250/13G19 RMK AO2
94908KDBQ DBQ20050514100511105/14/05 10:05:31  5-MIN KDBQ 141605Z 26016G20KT 10SM FEW036 SCT100 13/06  A2984 1150 61 1200 260/16G20 RMK AO2
94908KDBQ DBQ20050514101011105/14/05 10:10:31  5-MIN KDBQ 141610Z 26015G20KT 10SM FEW036 SCT085 13/05  A2984 1160 59 1200 260/15G20 RMK AO2
94908KDBQ DBQ20050514101511705/14/05 10:15:31  5-MIN KDBQ 141615Z 26015G20KT 10SM FEW036 SCT065 SCT085 12/05 A2984 1150 61 1100 260/15G20 RMK AO2
94908KDBQ DBQ20050514102011205/14/05 10:20:31  5-MIN KDBQ 141620Z 26015KT 10SM FEW036 SCT065 BKN085  13/06 A2983 1160 61 1200 250/15 RMK AO2
94908KDBQ DBQ20050514102511705/14/05 10:25:31  5-MIN KDBQ 141625Z 25018G21KT 10SM SCT036 BKN070 BKN085 13/06 A2983 1160 61 1200 250/18G21 RMK AO2
94908KDBQ DBQ20050514103011105/14/05 10:30:31  5-MIN KDBQ 141630Z 27014G21KT 10SM FEW036 BKN070 14/07  A2983 1160 61 1300 270/14G21 RMK AO2
94908KDBQ DBQ20050514103510505/14/05 10:35:31  5-MIN KDBQ 141635Z 25014KT 10SM FEW036 BKN070 13/06  A2983 1160 59 1300 250/14 RMK AO2
94908KDBQ DBQ20050514104010505/14/05 10:40:31  5-MIN KDBQ 141640Z 25012KT 10SM FEW034 BKN070 13/06  A2983 1170 59 1300 250/12 RMK AO2
94908KDBQ DBQ20050514104510505/14/05 10:45:31  5-MIN KDBQ 141645Z 24013KT 10SM FEW034 BKN075 13/06  A2982 1170 59 1300 240/13 RMK AO2
94908KDBQ DBQ20050514105012205/14/05 10:50:31  5-MIN KDBQ 141650Z 25016KT 10SM FEW038 BKN075 14/06  A2982 1170 59 1300 250/16 RMK AO2 SLP101 T01390061
94908KDBQ DBQ20050514105512805/14/05 10:55:31  5-MIN KDBQ 141655Z 26016G23KT 10SM SCT038 BKN070 13/06  A2982 1170 59 1300 260/16G23 RMK AO2 SLP100 T01330056
94908KDBQ DBQ20050514110012905/14/05 11:00:31  5-MIN KDBQ 141700Z 24021G26KT 10SM SCT038 BKN070 13/06  A2982 1170 61 1200 240/21G26 RMK AO2 PK WND 24026/1700
94908KDBQ DBQ20050514110513505/14/05 11:05:31  5-MIN KDBQ 141705Z 26016G26KT 10SM SCT038 BKN044 BKN070 12/06 A2982 1170 63 1200 260/16G26 RMK AO2 PK WND 24026/1700
94908KDBQ DBQ20050514111012305/14/05 11:10:31  5-MIN KDBQ 141710Z 27017KT 10SM BKN040 OVC070 12/06  A2982 1170 63 1200 270/17 RMK AO2 PK WND 24026/1700
94908KDBQ DBQ20050514111512205/14/05 11:15:31  5-MIN KDBQ 141715Z 27018G21KT 10SM OVC038 12/06 A2983  1170 66 1100 260/18G21 RMK AO2 PK WND 24026/1700
94908KDBQ DBQ20050514112012305/14/05 11:20:31  5-MIN KDBQ 141720Z 27016KT 10SM BKN035 OVC044 12/06  A2983 1170 66 1100 270/16 RMK AO2 PK WND 24026/1700
94908KDBQ DBQ20050514112512305/14/05 11:25:31  5-MIN KDBQ 141725Z 27018KT 10SM BKN035 OVC044 12/06  A2983 1160 66 1100 270/18 RMK AO2 PK WND 24026/1700
94908KDBQ DBQ20050514113012905/14/05 11:30:31  5-MIN KDBQ 141730Z 27018G23KT 10SM BKN030 OVC037 11/06  A2983 1160 68 1000 270/18G23 RMK AO2 PK WND 24026/1700
94908KDBQ DBQ20050514113512905/14/05 11:35:31  5-MIN KDBQ 141735Z 27020G26KT 10SM BKN028 OVC037 11/06  A2983 1160 71 1000 270/20G26 RMK AO2 PK WND 28026/1733
94908KDBQ DBQ20050514114014405/14/05 11:40:31  5-MIN KDBQ 141740Z 28022G26KT 10SM -RA BKN024 OVC034  11/06 A2984 1150 74 900 280/22G26 RMK AO2 PK WND 27026/1740 RAB37 P0000
94908KDBQ DBQ20050514114514405/14/05 11:45:31  5-MIN KDBQ 141745Z 28021G28KT 10SM -RA BKN024 OVC032  10/06 A2985 1150 77 900 280/21G28 RMK AO2 PK WND 29028/1745 RAB37 P0000
94908KDBQ DBQ20050514115018405/14/05 11:50:31  5-MIN KDBQ 141750Z 28018G28KT 10SM SCT020 OVC028 10/06  A2984 1150 74 900 280/18G28 RMK AO2 PK WND 29028/1745 RAB37E49 SLP109 P0000 60000 T01000056 10139 20061 56009
94908KDBQ DBQ20050514115518605/14/05 11:55:31  5-MIN KDBQ 141755Z 28015KT 10SM FEW020 BKN027 OVC055  11/06 A2984 1150 74 900 280/15 RMK AO2 PK WND 29028/1745 RAB37E49 SLP107  P0000 60000 T01060061 10139 20061 55003
94908KDBQ DBQ20050514120011705/14/05 12:00:31  5-MIN KDBQ 141800Z 29018G22KT 10SM FEW020 BKN027 BKN055 12/07 A2984 1150 68 1100 280/18G22 RMK AO2
94908KDBQ DBQ20050514120513505/14/05 12:05:31  5-MIN KDBQ 141805Z 29019G28KT 10SM FEW020 BKN027 BKN050 12/06 A2984 1150 68 1100 290/19G28 RMK AO2 PK WND 29028/1803
94908KDBQ DBQ20050514121013505/14/05 12:10:31  5-MIN KDBQ 141810Z 29018G28KT 10SM FEW020 BKN027 BKN050 12/06 A2984 1150 66 1100 290/18G28 RMK AO2 PK WND 29028/1803
94908KDBQ DBQ20050514121513505/14/05 12:15:31  5-MIN KDBQ 141815Z 28019G25KT 10SM FEW020 BKN027 BKN050 13/06 A2984 1160 63 1200 280/19G25 RMK AO2 PK WND 29028/1803
94908KDBQ DBQ20050514122013505/14/05 12:20:31  5-MIN KDBQ 141820Z 28021G28KT 10SM FEW020 BKN027 BKN050 12/04 A2984 1150 61 1100 280/21G28 RMK AO2 PK WND 28028/1816
94908KDBQ DBQ20050514122513505/14/05 12:25:31  5-MIN KDBQ 141825Z 29022G28KT 10SM FEW020 BKN027 BKN050 12/04 A2984 1150 59 1100 280/22G28 RMK AO2 PK WND 28028/1816
94908KDBQ DBQ20050514123013505/14/05 12:30:31  5-MIN KDBQ 141830Z 28021G32KT 10SM FEW020 BKN027 BKN050 12/03 A2984 1150 56 1100 280/21G32 RMK AO2 PK WND 28032/1826
94908KDBQ DBQ20050514123513505/14/05 12:35:31  5-MIN KDBQ 141835Z 28018G32KT 10SM FEW020 BKN027 BKN050 12/04 A2984 1150 56 1100 280/18G32 RMK AO2 PK WND 28032/1826
94908KDBQ DBQ20050514124013505/14/05 12:40:31  5-MIN KDBQ 141840Z 28026G30KT 10SM FEW020 BKN027 BKN050 12/03 A2985 1150 52 1100 280/26G30 RMK AO2 PK WND 28032/1826
94908KDBQ DBQ20050514124513505/14/05 12:45:31  5-MIN KDBQ 141845Z 28027G30KT 10SM FEW020 BKN027 BKN050 12/02 A2985 1150 52 1100 280/27G30 RMK AO2 PK WND 28032/1826
94908KDBQ DBQ20050514125015305/14/05 12:50:31  5-MIN KDBQ 141850Z 29026G34KT 10SM FEW020 BKN027 BKN050 12/03 A2984 1150 54 1100 290/26G34 RMK AO2 PK WND 29034/1848 SLP108  T01220033
94908KDBQ DBQ20050514125514605/14/05 12:55:31  5-MIN KDBQ 141855Z 29023G34KT 10SM FEW043 BKN055 12/03  A2985 1140 54 1100 290/23G34 RMK AO2 PK WND 29034/1848 SLP110 T01220033
94908KDBQ DBQ20050514130013505/14/05 13:00:31  5-MIN KDBQ 141900Z 30028G35KT 10SM FEW037 SCT045 BKN055 12/03 A2985 1150 56 1100 300/28G35 RMK AO2 PK WND 30035/1900
94908KDBQ DBQ20050514130513505/14/05 13:05:31  5-MIN KDBQ 141905Z 29026G35KT 10SM FEW037 SCT045 BKN060 11/03 A2986 1130 58 1000 290/26G35 RMK AO2 PK WND 30035/1900
94908KDBQ DBQ20050514131012905/14/05 13:10:31  5-MIN KDBQ 141910Z 29024G30KT 10SM FEW035 BKN060 12/04  A2986 1130 58 1000 290/24G30 RMK AO2 PK WND 30035/1900
94908KDBQ DBQ20050514131512905/14/05 13:15:31  5-MIN KDBQ 141915Z 29026G34KT 10SM FEW035 BKN060 12/03  A2986 1130 54 1000 280/26G34 RMK AO2 PK WND 30035/1900
94908KDBQ DBQ20050514132012805/14/05 13:20:31  5-MIN KDBQ 141920Z 29022G34KT 10SM FEW036 BKN060 11/03  A2986 1130 58 900 290/22G34 RMK AO2 PK WND 30035/1900
94908KDBQ DBQ20050514132512805/14/05 13:25:31  5-MIN KDBQ 141925Z 29023G31KT 10SM FEW036 BKN060 11/02  A2987 1120 56 900 290/23G31 RMK AO2 PK WND 30035/1900
94908KDBQ DBQ20050514133012805/14/05 13:30:31  5-MIN KDBQ 141930Z 29022G28KT 10SM FEW044 BKN060 11/02  A2987 1120 56 900 290/22G28 RMK AO2 PK WND 30035/1900
94908KDBQ DBQ20050514133512805/14/05 13:35:31  5-MIN KDBQ 141935Z 29020G29KT 10SM FEW044 BKN060 11/02  A2987 1120 56 900 290/20G29 RMK AO2 PK WND 30035/1900
94908KDBQ DBQ20050514134012805/14/05 13:40:31  5-MIN KDBQ 141940Z 28018G29KT 10SM FEW043 OVC055 11/03  A2988 1120 58 900 280/18G29 RMK AO2 PK WND 30035/1900
94908KDBQ DBQ20050514134512805/14/05 13:45:31  5-MIN KDBQ 141945Z 30022G27KT 10SM FEW043 OVC055 10/03  A2986 1130 60 800 290/22G27 RMK AO2 PK WND 30035/1900
94908KDBQ DBQ20050514135014505/14/05 13:50:31  5-MIN KDBQ 141950Z 28016G27KT 10SM SCT047 OVC055 10/03  A2988 1120 60 800 280/16G27 RMK AO2 PK WND 30035/1900 SLP121 T01000028
94908KDBQ DBQ20050514135515205/14/05 13:55:31  5-MIN KDBQ 141955Z 30020G24KT 10SM FEW033 BKN047 OVC055 09/03 A2988 1120 63 800 300/20G24 RMK AO2 PK WND 30035/1900 SLP121  T00940028
94908KDBQ DBQ20050514200012005/14/05 20:00:31  5-MIN KDBQ 150200Z AUTO 29016G20KT 10SM BKN035 OVC047  08/04 A2993 1070 76 600 290/16G20 RMK AO2 TSNO
94908KDBQ DBQ20050514200511305/14/05 20:05:31  5-MIN KDBQ 150205Z AUTO 29018KT 10SM BKN035 BKN047 08/04 A2993 1070 76 600 290/18 RMK AO2 TSNO
94908KDBQ DBQ20050514201010605/14/05 20:10:31  5-MIN KDBQ 150210Z AUTO 29014KT 10SM SCT035 08/04 A2993 1070 79 500 290/14 RMK AO2 TSNO
94908KDBQ DBQ20050514201511305/14/05 20:15:31  5-MIN KDBQ 150215Z AUTO 30014G21KT 10SM SCT033 08/04  A2993 1070 79 500 290/14G21 RMK AO2 TSNO
94908KDBQ DBQ20050514202011305/14/05 20:20:31  5-MIN KDBQ 150220Z AUTO 30013G21KT 10SM FEW035 08/04  A2993 1070 76 500 290/13G21 RMK AO2 TSNO
94908KDBQ DBQ20050514202510605/14/05 20:25:31  5-MIN KDBQ 150225Z AUTO 30014KT 10SM SCT032 08/04 A2993 1070 76 500 300/14 RMK AO2 TSNO
94908KDBQ DBQ20050514203010605/14/05 20:30:31  5-MIN KDBQ 150230Z AUTO 30013KT 10SM SCT032 08/04 A2994 1060 76 500 300/13 RMK AO2 TSNO
94908KDBQ DBQ20050514203510605/14/05 20:35:31  5-MIN KDBQ 150235Z AUTO 29011KT 10SM SCT032 07/04 A2994 1060 82 400 290/11 RMK AO2 TSNO
94908KDBQ DBQ20050514204010605/14/05 20:40:31  5-MIN KDBQ 150240Z AUTO 29011KT 10SM SCT030 07/04 A2994 1060 82 400 280/11 RMK AO2 TSNO
94908KDBQ DBQ20050514204510605/14/05 20:45:31  5-MIN KDBQ 150245Z AUTO 29013KT 10SM BKN030 08/04 A2994 1060 79 500 290/13 RMK AO2 TSNO
94908KDBQ DBQ20050514205013605/14/05 20:50:31  5-MIN KDBQ 150250Z AUTO 29013G18KT 10SM BKN030 08/04  A2994 1060 79 500 290/13G18 RMK AO2 SLP143 T00780044 51007 TSNO
94908KDBQ DBQ20050514205512905/14/05 20:55:31  5-MIN KDBQ 150255Z AUTO 30015KT 10SM BKN030 07/04 A2994 1060 82 400 300/15 RMK AO2 SLP142 T00720044 53009 TSNO
94908KDBQ DBQ20050514210011405/14/05 21:00:31  5-MIN KDBQ 150300Z AUTO 30014KT 10SM BKN030 07/04 A2994 1060 79 400 3Z AUTO 290114 RMK AO2 TSNO
94908KDBQ DBQ20050514210510605/14/05 21:05:31  5-MIN KDBQ 150305Z AUTO 29014KT 10SM BKN030 07/04 A2994 1060 79 400 290/14 RMK AO2 TSNO
94908KDBQ DBQ20050514211014505/14/05 21:10:31  5-MIN KDBQ 150310Z AUTO 29015KT 10SM BKN030 07/04 A2994 1060 79 400 290/15 4/05 /05 21:1510Z5Z AUTO 30013KT 10SM BKN032 0794 4
94908KDBQ DBQ20050514212507505/14/05 21:25:31  5-MIN KDBQ 150325Z AUTO 29013G19KT 10SM BKN080/14  1 004
94908KDBQ DBQ20050515035512305/15/05 03:55:31  5-MIN KDBQ 150955Z AUTO 30011KT 10SM OVC021 04/03 A2996 1040 89 100 300/11 RMK AO2 SLP152 T00440028 TSNO
94908KDBQ DBQ20050515040010605/15/05 04:00:31  5-MIN KDBQ 151000Z AUTO 30009KT 10SM BKN021 04/02 A2996 1040 85 100 300/09 RMK AO2 TSNO
94908KDBQ DBQ20050515040510405/15/05 04:05:31  5-MIN KDBQ 151005Z AUTO 30009KT 10SM BKN023 04/02 A2996 1040 89 0 300/09 RMK AO2 TSNO
94908KDBQ DBQ20050515041010405/15/05 04:10:31  5-MIN KDBQ 151010Z AUTO 31009KT 10SM BKN023 04/02 A2996 1040 89 0 300/09 RMK AO2 TSNO
94908KDBQ DBQ20050515041510405/15/05 04:15:31  5-MIN KDBQ 151015Z AUTO 31010KT 10SM SCT023 04/02 A2997 1040 89 0 310/10 RMK AO2 TSNO
94908KDBQ DBQ20050515042010405/15/05 04:20:31  5-MIN KDBQ 151020Z AUTO 31010KT 10SM FEW023 04/02 A2997 1040 89 0 310/10 RMK AO2 TSNO
94908KDBQ DBQ20050515042510405/15/05 04:25:31  5-MIN KDBQ 151025Z AUTO 31008KT 10SM FEW025 04/02 A2997 1030 89 0 310/08 RMK AO2 TSNO
94908KDBQ DBQ20050515043010405/15/05 04:30:31  5-MIN KDBQ 151030Z AUTO 31008KT 10SM FEW025 03/02 A2997 1030 92 0 310/08 RMK AO2 TSNO
94908KDBQ DBQ20050515043510205/15/05 04:35:31  5-MIN KDBQ 151035Z AUTO 31009KT 10SM CLR 03/02 A2997  1030 92 0 310/09 RMK AO2 TSNO
94908KDBQ DBQ20050515044010205/15/05 04:40:31  5-MIN KDBQ 151040Z AUTO 31009KT 10SM CLR 03/02 A2997  1030 89 0 310/09 RMK AO2 TSNO
94908KDBQ DBQ20050515044510205/15/05 04:45:31  5-MIN KDBQ 151045Z AUTO 31009KT 10SM CLR 03/02 A2997  1030 89 0 300/09 RMK AO2 TSNO
94908KDBQ DBQ20050515045011905/15/05 04:50:31  5-MIN KDBQ 151050Z AUTO 31010KT 10SM CLR 03/02 A2997  1030 89 0 310/10 RMK AO2 SLP157 T00330017 TSNO
94908KDBQ DBQ20050515045510805/15/05 04:55:31  5-MIN KDBQ 151055Z 31009KT 10SM CLR 03/02 A2998 1030 89 0 300/09 RMK AO2 SLP157 T00330017
94908KDBQ DBQ20050515050009105/15/05 05:00:31  5-MIN KDBQ 151100Z 30009KT 10SM CLR 03/02 A2998 1030 89 0 300/09 RMK AO2
94908KDBQ DBQ20050515050509105/15/05 05:05:31  5-MIN KDBQ 151105Z 31008KT 10SM CLR 03/02 A2998 1030 89 0 310/08 RMK AO2
94908KDBQ DBQ20050515051009105/15/05 05:10:31  5-MIN KDBQ 151110Z 31008KT 10SM CLR 03/02 A2998 1030 89 0 310/08 RMK AO2
94908KDBQ DBQ20050515051509405/15/05 05:15:31  5-MIN KDBQ 151115Z 30008KT 10SM CLR 03/02 A2998 1030 89 -100 300/08 RMK AO2
94908KDBQ DBQ20050515052009405/15/05 05:20:31  5-MIN KDBQ 151120Z 30008KT 10SM CLR 03/02 A2998 1020 92 -100 300/08 RMK AO2
94908KDBQ DBQ20050515052509105/15/05 05:25:31  5-MIN KDBQ 151125Z 30007KT 10SM CLR 04/02 A2998 1020 89 0 300/07 RMK AO2
94908KDBQ DBQ20050515053009105/15/05 05:30:31  5-MIN KDBQ 151130Z 31008KT 10SM CLR 04/02 A2998 1020 89 0 300/08 RMK AO2
94908KDBQ DBQ20050515053509105/15/05 05:35:31  5-MIN KDBQ 151135Z 31009KT 10SM CLR 04/02 A2999 1020 89 0 310/09 RMK AO2
94908KDBQ DBQ20050515054009105/15/05 05:40:31  5-MIN KDBQ 151140Z 30009KT 10SM CLR 04/02 A2999 1020 89 0 300/09 RMK AO2
94908KDBQ DBQ20050515054509105/15/05 05:45:31  5-MIN KDBQ 151145Z 31010KT 10SM CLR 04/02 A2999 1010 85 0 310/10 RMK AO2
94908KDBQ DBQ20050515055012605/15/05 05:50:31  5-MIN KDBQ 151150Z 31009KT 10SM CLR 04/03 A2999 1010 89 0 310/09 RMK AO2 SLP163 T00440028 10056 20033 53003
94908KDBQ DBQ20050515055512605/15/05 05:55:31  5-MIN KDBQ 151155Z 32009KT 10SM CLR 04/03 A3000 1010 89 0 310/09 RMK AO2 SLP164 T00440028 10056 20033 53015
94908KDBQ DBQ20050515060009305/15/05 06:00:31  5-MIN KDBQ 151200Z 32010KT 10SM CLR 05/03 A3000 1010 85 100 320/10 RMK AO2
94908KDBQ DBQ20050515060509305/15/05 06:05:31  5-MIN KDBQ 151205Z 32012KT 10SM CLR 05/03 A3000 1010 85 100 320/12 RMK AO2
94908KDBQ DBQ20050515061009305/15/05 06:10:31  5-MIN KDBQ 151210Z 31011KT 10SM CLR 05/03 A3000 1010 85 100 310/11 RMK AO2
94908KDBQ DBQ20050515061509305/15/05 06:15:31  5-MIN KDBQ 151215Z 32010KT 10SM CLR 05/03 A3000 1000 85 100 320/10 RMK AO2
94908KDBQ DBQ20050515062009305/15/05 06:20:31  5-MIN KDBQ 151220Z 31011KT 10SM CLR 06/03 A3000 1000 82 100 310/11 RMK AO2
94908KDBQ DBQ20050515062509305/15/05 06:25:31  5-MIN KDBQ 151225Z 31012KT 10SM CLR 06/03 A3000 1000 85 100 310/12 RMK AO2
94908KDBQ DBQ20050515063009305/15/05 06:30:31  5-MIN KDBQ 151230Z 31010KT 10SM CLR 06/03 A3000 1000 82 100 310/10 RMK AO2
94908KDBQ DBQ20050515063509305/15/05 06:35:31  5-MIN KDBQ 151235Z 32011KT 10SM CLR 06/03 A3001 1000 85 100 310/11 RMK AO2
94908KDBQ DBQ20050515064009605/15/05 06:40:31  5-MIN KDBQ 151240Z 32011KT 10SM FEW013 06/03 A3001 1000 85 100 320/11 RMK AO2
94908KDBQ DBQ20050515064509605/15/05 06:45:31  5-MIN KDBQ 151245Z 32010KT 10SM FEW013 06/03 A3001 1000 82 200 320/10 RMK AO2
94908KDBQ DBQ20050515065011305/15/05 06:50:31  5-MIN KDBQ 151250Z 32012KT 10SM FEW013 06/03 A3001 1000 82 200 320/12 RMK AO2 SLP167 T00610033
94908KDBQ DBQ20050515065511305/15/05 06:55:31  5-MIN KDBQ 151255Z 33013KT 10SM FEW013 07/03 A3001 1000 79 300 320/13 RMK AO2 SLP168 T00670033
94908KDBQ DBQ20050515070009605/15/05 07:00:31  5-MIN KDBQ 151300Z 33012KT 10SM FEW013 07/03 A3001 1000 79 300 320/12 RMK AO2
94908KDBQ DBQ20050515070509605/15/05 07:05:31  5-MIN KDBQ 151305Z 32012KT 10SM SCT013 07/03 A3001 990  79 300 320/12 RMK AO2
94908KDBQ DBQ20050515071009605/15/05 07:10:31  5-MIN KDBQ 151310Z 32013KT 10SM FEW013 07/03 A3001 990  79 300 320/13 RMK AO2
94908KDBQ DBQ20050515071509605/15/05 07:15:31  5-MIN KDBQ 151315Z 32010KT 10SM FEW013 07/03 A3002 990  76 300 320/10 RMK AO2
94908KDBQ DBQ20050515072009605/15/05 07:20:31  5-MIN KDBQ 151320Z 33012KT 10SM FEW013 07/03 A3002 990  79 300 330/12 RMK AO2
94908KDBQ DBQ20050515072509605/15/05 07:25:31  5-MIN KDBQ 151325Z 32012KT 10SM FEW013 07/03 A3002 990  76 300 320/12 RMK AO2
94908KDBQ DBQ20050515073009605/15/05 07:30:31  5-MIN KDBQ 151330Z 32012KT 10SM FEW013 07/03 A3002 990  76 300 320/12 RMK AO2
94908KDBQ DBQ20050515073509605/15/05 07:35:31  5-MIN KDBQ 151335Z 32012KT 10SM FEW017 07/03 A3002 990  76 300 320/12 RMK AO2
94908KDBQ DBQ20050515074009605/15/05 07:40:31  5-MIN KDBQ 151340Z 32012KT 10SM FEW017 07/03 A3002 990  73 300 320/12 RMK AO2
94908KDBQ DBQ20050515074510305/15/05 07:45:31  5-MIN KDBQ 151345Z 32013KT 10SM FEW017 SCT040 08/03  A3002 990 73 400 320/13 RMK AO2
94908KDBQ DBQ20050515075012005/15/05 07:50:31  5-MIN KDBQ 151350Z 32011KT 10SM FEW017 SCT040 08/03  A3002 990 73 400 320/11 RMK AO2 SLP171 T00780033
94908KDBQ DBQ20050515075512005/15/05 07:55:31  5-MIN KDBQ 151355Z 33011KT 10SM FEW017 BKN040 08/03  A3002 990 70 400 330/11 RMK AO2 SLP171 T00780028
94908KDBQ DBQ20050515080010305/15/05 08:00:31  5-MIN KDBQ 151400Z 33010KT 10SM FEW017 BKN040 08/03  A3002 990 73 400 330/10 RMK AO2
94908KDBQ DBQ20050515080510305/15/05 08:05:31  5-MIN KDBQ 151405Z 34013KT 10SM FEW020 BKN040 08/03  A3002 990 73 400 330/13 RMK AO2
94908KDBQ DBQ20050515081010305/15/05 08:10:31  5-MIN KDBQ 151410Z 34013KT 10SM FEW020 OVC040 08/03  A3002 990 73 400 340/13 RMK AO2
94908KDBQ DBQ20050515081510305/15/05 08:15:31  5-MIN KDBQ 151415Z 33010KT 10SM FEW020 OVC040 08/03  A3002 980 70 500 330/10 RMK AO2
94908KDBQ DBQ20050515082011005/15/05 08:20:31  5-MIN KDBQ 151420Z 35014KT 10SM SCT022 SCT029 OVC040  08/03 A3003 980 70 400 350/14 RMK AO2
94908KDBQ DBQ20050515082511005/15/05 08:25:31  5-MIN KDBQ 151425Z 34012KT 10SM FEW022 SCT029 OVC040  08/03 A3003 980 70 400 340/12 RMK AO2
94908KDBQ DBQ20050515083011005/15/05 08:30:31  5-MIN KDBQ 151430Z 34010KT 10SM FEW022 SCT030 OVC040  08/03 A3003 980 73 400 340/10 RMK AO2
94908KDBQ DBQ20050515083510305/15/05 08:35:31  5-MIN KDBQ 151435Z 34010KT 10SM SCT022 BKN040 08/03  A3003 980 73 400 340/10 RMK AO2
94908KDBQ DBQ20050515084010305/15/05 08:40:31  5-MIN KDBQ 151440Z 34012KT 10SM FEW022 BKN040 08/03  A3003 980 68 500 340/12 RMK AO2
94908KDBQ DBQ20050515084511005/15/05 08:45:31  5-MIN KDBQ 151445Z 33014KT 10SM FEW022 SCT029 BKN040  09/03 A3003 980 65 600 330/14 RMK AO2
94908KDBQ DBQ20050515085013305/15/05 08:50:31  5-MIN KDBQ 151450Z 34013KT 10SM FEW024 SCT029 BKN040  09/03 A3003 980 65 600 340/13 RMK AO2 SLP173 T00940033 53015
94908KDBQ DBQ20050515085512605/15/05 08:55:31  5-MIN KDBQ 151455Z 35011KT 10SM FEW026 BKN037 09/02  A3003 980 63 500 350/11 RMK AO2 SLP173 T00890022 51010
94908KDBQ DBQ20050515090010305/15/05 09:00:31  5-MIN KDBQ 151500Z 35011KT 10SM FEW026 BKN037 09/03  A3003 980 63 600 350/11 RMK AO2
